TIME,V(OUT),V(IN1),V(IN2),V(IN3)
0.00000000e+00,6.99999352e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.00000000e-13,7.01542948e-01,0.00000000e+00,7.00000000e-03,7.00000000e-03
2.00000000e-13,7.03730996e-01,0.00000000e+00,1.40000000e-02,1.40000000e-02
3.00000000e-13,7.06026959e-01,0.00000000e+00,2.10000000e-02,2.10000000e-02
4.00000000e-13,7.08329796e-01,0.00000000e+00,2.80000000e-02,2.80000000e-02
5.00000000e-13,7.10632633e-01,0.00000000e+00,3.50000000e-02,3.50000000e-02
6.00000000e-13,7.12577427e-01,0.00000000e+00,4.20000000e-02,4.20000000e-02
7.00000000e-13,7.14477968e-01,0.00000000e+00,4.90000000e-02,4.90000000e-02
8.00000000e-13,7.16228111e-01,0.00000000e+00,5.60000000e-02,5.60000000e-02
9.00000000e-13,7.17672902e-01,0.00000000e+00,6.30000000e-02,6.30000000e-02
1.00000000e-12,7.19117693e-01,0.00000000e+00,7.00000000e-02,7.00000000e-02
1.10000000e-12,7.20228001e-01,0.00000000e+00,7.70000000e-02,7.70000000e-02
1.20000000e-12,7.21238398e-01,0.00000000e+00,8.40000000e-02,8.40000000e-02
1.30000000e-12,7.22248795e-01,0.00000000e+00,9.10000000e-02,9.10000000e-02
1.40000000e-12,7.23259193e-01,0.00000000e+00,9.80000000e-02,9.80000000e-02
1.50000000e-12,7.24269590e-01,0.00000000e+00,1.05000000e-01,1.05000000e-01
1.60000000e-12,7.25021202e-01,0.00000000e+00,1.12000000e-01,1.12000000e-01
1.70000000e-12,7.25633469e-01,0.00000000e+00,1.19000000e-01,1.19000000e-01
1.80000000e-12,7.26245735e-01,0.00000000e+00,1.26000000e-01,1.26000000e-01
1.90000000e-12,7.26858002e-01,0.00000000e+00,1.33000000e-01,1.33000000e-01
2.00000000e-12,7.27470268e-01,0.00000000e+00,1.40000000e-01,1.40000000e-01
2.10000000e-12,7.28082535e-01,0.00000000e+00,1.47000000e-01,1.47000000e-01
2.20000000e-12,7.28694801e-01,0.00000000e+00,1.54000000e-01,1.54000000e-01
2.30000000e-12,7.29307068e-01,0.00000000e+00,1.61000000e-01,1.61000000e-01
2.40000000e-12,7.29919334e-01,0.00000000e+00,1.68000000e-01,1.68000000e-01
2.50000000e-12,7.30531600e-01,0.00000000e+00,1.75000000e-01,1.75000000e-01
2.60000000e-12,7.31090053e-01,0.00000000e+00,1.82000000e-01,1.82000000e-01
2.70000000e-12,7.31571064e-01,0.00000000e+00,1.89000000e-01,1.89000000e-01
2.80000000e-12,7.32052076e-01,0.00000000e+00,1.96000000e-01,1.96000000e-01
2.90000000e-12,7.32533088e-01,0.00000000e+00,2.03000000e-01,2.03000000e-01
3.00000000e-12,7.33014100e-01,0.00000000e+00,2.10000000e-01,2.10000000e-01
3.10000000e-12,7.33495111e-01,0.00000000e+00,2.17000000e-01,2.17000000e-01
3.20000000e-12,7.33976123e-01,0.00000000e+00,2.24000000e-01,2.24000000e-01
3.30000000e-12,7.34457135e-01,0.00000000e+00,2.31000000e-01,2.31000000e-01
3.40000000e-12,7.34938147e-01,0.00000000e+00,2.38000000e-01,2.38000000e-01
3.50000000e-12,7.35419159e-01,0.00000000e+00,2.45000000e-01,2.45000000e-01
3.60000000e-12,7.35908538e-01,0.00000000e+00,2.52000000e-01,2.52000000e-01
3.70000000e-12,7.36438771e-01,0.00000000e+00,2.59000000e-01,2.59000000e-01
