TIME,V(OUT),V(IN)
5.20287946e-10,6.90591213e-01,0.00000000e+00
5.20446518e-10,6.94638894e-01,0.00000000e+00
5.20763663e-10,6.98436339e-01,0.00000000e+00
5.21080808e-10,6.99544128e-01,0.00000000e+00
5.21715098e-10,7.00019991e-01,0.00000000e+00
5.22285959e-10,6.99998774e-01,0.00000000e+00
5.23427682e-10,6.99998580e-01,0.00000000e+00
5.24569404e-10,6.99998644e-01,0.00000000e+00
5.26852848e-10,6.99998618e-01,0.00000000e+00
5.31419737e-10,6.99998635e-01,0.00000000e+00
5.40553515e-10,6.99998621e-01,0.00000000e+00
5.58821071e-10,6.99998634e-01,0.00000000e+00
5.88821071e-10,6.99998622e-01,0.00000000e+00
6.18821071e-10,6.99998634e-01,0.00000000e+00
6.48821071e-10,6.99998622e-01,0.00000000e+00
6.78821071e-10,6.99998633e-01,0.00000000e+00
7.00000000e-10,6.99998623e-01,0.00000000e+00
7.00062500e-10,7.04245616e-01,4.37500000e-03
7.00125000e-10,7.07739364e-01,8.75000000e-03
7.00187500e-10,7.10894371e-01,1.31250000e-02
7.00312500e-10,7.15559575e-01,2.18750000e-02
7.00437500e-10,7.18637223e-01,3.06250000e-02
7.00562500e-10,7.20709153e-01,3.93750000e-02
7.00812500e-10,7.23235815e-01,5.68750000e-02
7.01312500e-10,7.25653772e-01,9.18750000e-02
7.01812500e-10,7.27090810e-01,1.26875000e-01
7.02812500e-10,7.29608548e-01,1.96875000e-01
7.03812500e-10,7.25334290e-01,2.66875000e-01
7.03918385e-10,7.23792565e-01,2.74286935e-01
7.04024270e-10,7.22042040e-01,2.81698870e-01
7.04236039e-10,7.17128061e-01,2.96522740e-01
7.04447809e-10,7.10102060e-01,3.11346611e-01
7.04659578e-10,7.00580388e-01,3.26170481e-01
7.04871348e-10,6.87999063e-01,3.40994351e-01
7.05083117e-10,6.71408333e-01,3.55818221e-01
7.05294887e-10,6.48982192e-01,3.70642091e-01
7.05506657e-10,6.17086723e-01,3.85465961e-01
7.05691787e-10,5.77435518e-01,3.98425098e-01
7.05845800e-10,5.34945297e-01,4.09206028e-01
7.05984412e-10,4.89914022e-01,4.18908865e-01
7.06123024e-10,4.39136107e-01,4.28611703e-01
7.06261636e-10,3.83302548e-01,4.38314540e-01
7.06400248e-10,3.23421060e-01,4.48017377e-01
7.06538860e-10,2.61420820e-01,4.57720214e-01
7.06659649e-10,2.08639851e-01,4.66175402e-01
7.06780437e-10,1.61096288e-01,4.74630589e-01
7.06889147e-10,1.25238902e-01,4.82240257e-01
7.06986985e-10,9.91738930e-02,4.89088959e-01
7.07084824e-10,7.86740097e-02,4.95937661e-01
7.07182662e-10,6.29900966e-02,5.02786362e-01
7.07280501e-10,5.12412053e-02,5.09635064e-01
7.07378340e-10,4.25731845e-02,5.16483765e-01
7.07476178e-10,3.62407686e-02,5.23332467e-01
7.07574017e-10,3.16380253e-02,5.30181169e-01
7.07671855e-10,2.82955571e-02,5.37029870e-01
7.07867532e-10,2.40012996e-02,5.50727274e-01
7.08258887e-10,2.01990058e-02,5.78122080e-01
7.09041596e-10,1.81231270e-02,6.32911693e-01
7.09746033e-10,1.73835467e-02,6.82222345e-01
7.10000000e-10,1.71230843e-02,7.00000000e-01
7.10040563e-10,1.42804195e-02,7.00000000e-01
7.10074556e-10,1.22382805e-02,7.00000000e-01
7.10108549e-10,1.03538466e-02,7.00000000e-01
7.10176535e-10,7.39247783e-03,7.00000000e-01
7.10244522e-10,5.27744549e-03,7.00000000e-01
7.10380495e-10,2.63546397e-03,7.00000000e-01
7.10652440e-10,5.25406001e-04,7.00000000e-01
7.11196332e-10,-7.43712264e-05,7.00000000e-01
7.11740223e-10,1.19833929e-05,7.00000000e-01
7.12284114e-10,-4.57006093e-07,7.00000000e-01
7.13371897e-10,1.82290182e-06,7.00000000e-01
7.15547462e-10,6.20734313e-07,7.00000000e-01
7.19898593e-10,1.51446113e-06,7.00000000e-01
7.28600855e-10,7.40507951e-07,7.00000000e-01
7.46005377e-10,1.46141522e-06,7.00000000e-01
7.76005377e-10,7.66785177e-07,7.00000000e-01
8.06005377e-10,1.44282321e-06,7.00000000e-01
8.10000000e-10,8.37607428e-07,7.00000000e-01
8.10062500e-10,-3.94908962e-03,6.95625000e-01
8.10125000e-10,-6.97384612e-03,6.91250000e-01
8.10187500e-10,-9.59869545e-03,6.86875000e-01
8.10312500e-10,-1.30287374e-02,6.78125000e-01
8.10437500e-10,-1.48971911e-02,6.69375000e-01
8.10562500e-10,-1.59436079e-02,6.60625000e-01
8.10812500e-10,-1.69856935e-02,6.43125000e-01
8.11062500e-10,-1.74328416e-02,6.25625000e-01
8.11562500e-10,-1.80612044e-02,5.90625000e-01
8.12062500e-10,-1.87041774e-02,5.55625000e-01
8.13062500e-10,-1.96457580e-02,4.85625000e-01
8.13713683e-10,-1.74474693e-02,4.40042158e-01
8.14061607e-10,-1.46618303e-02,4.15687513e-01
8.14409530e-10,-1.03828627e-02,3.91332867e-01
8.14757454e-10,-2.70546296e-03,3.66978221e-01
8.15105378e-10,9.49510338e-03,3.42623575e-01
8.15453301e-10,2.94094640e-02,3.18268929e-01
8.15505011e-10,3.34726110e-02,3.14649201e-01
8.15556722e-10,3.77957631e-02,3.11029473e-01
8.15660143e-10,4.78448088e-02,3.03790016e-01
8.15763563e-10,6.02129853e-02,2.96550560e-01
8.15866984e-10,7.54817209e-02,2.89311104e-01
8.15970405e-10,9.40739497e-02,2.82071647e-01
8.16073826e-10,1.16103576e-01,2.74832191e-01
8.16177247e-10,1.41401914e-01,2.67592735e-01
8.16280667e-10,1.69705060e-01,2.60353278e-01
8.16384088e-10,2.00744310e-01,2.53113822e-01
8.16487509e-10,2.34233267e-01,2.45874365e-01
8.16590930e-10,2.69835657e-01,2.38634909e-01
8.16694351e-10,3.07130137e-01,2.31395453e-01
8.16797771e-10,3.45566588e-01,2.24155996e-01
8.17004613e-10,4.22440700e-01,2.09677084e-01
8.17211455e-10,4.92825330e-01,1.95198171e-01
8.17392847e-10,5.43749311e-01,1.82500726e-01
8.17542718e-10,5.77066210e-01,1.72009773e-01
8.17677601e-10,6.00715363e-01,1.62567916e-01
8.17812485e-10,6.19152182e-01,1.53126058e-01
8.17947369e-10,6.33245106e-01,1.43684200e-01
8.18082252e-10,6.43849187e-01,1.34242343e-01
8.18217136e-10,6.51736734e-01,1.24800485e-01
8.18352020e-10,6.57560957e-01,1.15358627e-01
8.18486903e-10,6.61848306e-01,1.05916770e-01
8.18756671e-10,6.67442619e-01,8.70330542e-02
8.19296205e-10,6.72596411e-01,4.92656234e-02
8.20000000e-10,6.75049830e-01,5.55111512e-16
8.20050087e-10,6.78723240e-01,0.00000000e+00
8.20089730e-10,6.81282381e-01,0.00000000e+00
8.20129373e-10,6.83677103e-01,0.00000000e+00
8.20208659e-10,6.87605521e-01,0.00000000e+00
8.20287946e-10,6.90591213e-01,0.00000000e+00
8.20446518e-10,6.94638894e-01,0.00000000e+00
8.20763663e-10,6.98436339e-01,0.00000000e+00
8.21080808e-10,6.99544128e-01,0.00000000e+00
8.21715098e-10,7.00019991e-01,0.00000000e+00
8.22285959e-10,6.99998774e-01,0.00000000e+00
8.23427682e-10,6.99998580e-01,0.00000000e+00
8.24569404e-10,6.99998644e-01,0.00000000e+00
8.26852848e-10,6.99998618e-01,0.00000000e+00
8.31419737e-10,6.99998635e-01,0.00000000e+00
8.40553515e-10,6.99998621e-01,0.00000000e+00
8.58821071e-10,6.99998634e-01,0.00000000e+00
8.88821071e-10,6.99998622e-01,0.00000000e+00
9.18821071e-10,6.99998634e-01,0.00000000e+00
9.48821071e-10,6.99998622e-01,0.00000000e+00
9.78821071e-10,6.99998633e-01,0.00000000e+00
1.00000000e-09,6.99998623e-01,7.23783036e-15
